道,11078
不,8882
一,7969
了,7752
那,7516
我,7224
是,6498
来,5994
他,5751
个,5704
行,5629
你,5522
的,5433
者,4989
有,4488
大,4230
得,3845
这,3807
上,3776
去,3699
见,3429
老,3412
人,3380
在,3360
三,3360
下,3044
子,2985
也,2945
僧,2858
里,2833
王,2714
天,2640
师,2622
之,2550
又,2499
着,2492
只,2490
说,2327
妖,2313
出,2296
八,2268
与,2238
头,2147
就,2093
此,2093
山,2060
却,2046
看,2039
儿,1993
将,1919
父,1896
好,1887
戒,1867
前,1839
门,1803
如,1802
无,1764
圣,1731
中,1717
把,1702
打,1647
身,1637
时,1623
藏,1602
等,1594
小,1583
怪,1556
么,1546
心,1471
到,1450
唐,1442
何,1442
怎,1426
叫,1424
们,1419
长,1394
要,1387
金,1377
日,1374
手,1367
知,1358
孙,1358
言,1323
回,1310
两,1300
正,1297
走,1291
十,1285
家,1282
生,1282
二,1245
还,1215
处,1207
住,1201
神,1191
众,1186
都,1182
弟,1177
声,1171
甚,1170
云,1151
马,1142
水,1125
沙,1109
方,1094
真,1092
今,1087
起,1077
空,1067
路,1063
风,1042
些,1042
精,1038
地,1033
四,1030
和,1023
教,1019
笑,1017
吃,1014
做,1000
即,993
听,991
可,987
自,979
多,978
为,968
拿,959
面,955
国,955
经,939
若,937
事,929
问,928
变,926
后,916
口,915
仙,909
过,908
开,906
西,903
果,889
相,888
然,879
魔,874
请,869
龙,867
闻,863
才,861
宝,855
且,847
取,838
尚,835
火,820
洞,816
当,813
年,798
菩,798
进,792
拜,789
萨,787
高,780
放,779
徒,775
至,768
分,767
佛,767
便,760
五,758
法,755
光,755
罢,753
莫,751
官,746
边,743
间,739
哩,737
花,727
敢,724
太,718
命,716
悟,715
曾,715
难,714
明,710
几,706
万,693
女,689
喜,689
往,688
外,684
千,683
会,680
本,679
猴,660
棒,648
东,645
公,640
被,629
名,628
坐,627
能,626
原,620
宫,620
气,610
早,608
入,606
作,602
使,597
倒,595
哥,588
乃,585
玉,583
兄,581
救,580
同,572
而,571
化,570
死,569
急,569
朝,567
般,565
爷,563
没,556
观,553
收,549
寻,549
再,546
用,545
念,539
百,535
土,535
径,528
定,527
齐,522
各,522
礼,521
意,516
先,515
主,514
话,513
白,509
似,506
物,503
但,502
战,502
海,501
星,499
眼,497
成,496
半,495
殿,495
解,492
对,492
想,491
安,490
动,488
以,487
城,485
因,485
衣,482
送,480
惊,477
转,476
兵,473
呆,471
性,469
尽,468
斗,465
谢,463
飞,458
君,458
已,456
内,456
香,456
快,451
满,445
铁,443
报,443
通,438
望,438
降,435
六,434
力,433
南,424
啊,418
更,418
斋,418
石,413
字,405
灵,404
怕,402
发,401
文,401
夜,399
月,399
近,398
随,396
认,391
数,388
忽,387
七,385
未,384
杀,384
跳,383
从,382
既,380
赶,379
九,376
少,376
帝,374
黄,372
须,370
故,369
弄,369
乱,368
迎,365
情,364
传,362
娘,361
样,361
落,360
善,357
待,355
亲,355
驾,354
向,352
合,352
虎,351
清,351
远,351
必,349
功,345
点,344
语,344
苦,342
直,340
管,340
红,340
慌,339
实,337
猪,337
色,336
暗,335
受,335
干,334
依,331
条,331
树,330
寺,330
母,328
象,324
求,324
接,324
音,323
俱,323
连,321
细,321
脱,321
于,320
旨,320
位,319
罗,319
喝,316
根,315
钯,315
脚,314
领,313
李,312
差,308
忙,308
